base_dir	version_subdir	module	version	mod_time	mod_days	mod_3y	mod_5y	mod_10y
/sw/comp	__dmd2/2.073.0	__dmd2	2.073.0	2017-01-22_17:08:50	2683	0	0	1
/sw/comp	__tcl/8.6.8	__tcl	8.6.8	2018-06-27_07:33:45	2162	0	0	1
/sw/comp	amd/sbin	amd	sbin	2012-05-28_15:06:26	4383	0	0	0
/sw/comp	berkeley_upc/2.18.0_gcc	berkeley_upc	2.18.0_gcc	2013-11-15_10:00:55	3847	0	0	0
/sw/comp	binutils/2.26	binutils	2.26	2017-04-19_10:20:39	2596	0	0	1
/sw/comp	binutils/2.28	binutils	2.28	2018-09-25_14:36:08	2072	0	0	1
/sw/comp	binutils/2.38	binutils	2.38	2022-04-05_18:08:10	784	1	1	1
/sw/comp	binutils/2.39	binutils	2.39	2023-09-27_10:28:06	244	1	1	1
/sw/comp	binutils/2.41	binutils	2.41	2023-09-27_10:51:47	244	1	1	1
/sw/comp	bison/3.7.6	bison	3.7.6	2021-05-11_10:31:27	1113	0	1	1
/sw/comp	cuda/10.2	cuda	10.2	2020-02-21_15:04:34	1558	0	1	1
/sw/comp	cuda/11.2.1	cuda	11.2.1	2023-10-17_20:40:57	224	1	1	1
/sw/comp	cuda/11.7.0	cuda	11.7.0	2023-10-17_17:36:50	224	1	1	1
/sw/comp	cuda/11.8.0	cuda	11.8.0	2023-10-17_18:13:02	224	1	1	1
/sw/comp	cuda/12.0.0	cuda	12.0.0	2023-10-17_18:20:32	224	1	1	1
/sw/comp	cuda/12.1.0	cuda	12.1.0	2023-10-17_18:25:20	224	1	1	1
/sw/comp	cuda/12.1.1	cuda	12.1.1	2023-10-17_18:38:17	224	1	1	1
/sw/comp	cuda/12.2.0	cuda	12.2.0	2023-10-17_18:43:01	224	1	1	1
/sw/comp	cuda/12.2.2	cuda	12.2.2	2023-10-17_18:49:44	224	1	1	1
/sw/comp	cuda/3.2	cuda	3.2	2013-01-10_13:39:49	4156	0	0	0
/sw/comp	cuda/4.1.28	cuda	4.1.28	2012-03-14_14:27:34	4458	0	0	0
/sw/comp	cuda/5.0	cuda	5.0	2012-10-22_18:04:51	4236	0	0	0
